id;question;answer chunk
2329bf02-8d29-4b0d-b16b-c12f50314931;What is the function of the RasterPaletteResolver transformer?;"Name: RasterPaletteResolver Category: Rasters Description: Name: RasterPaletteResolver Category: Rasters Description: erGeoreferencer Georeferences a raster by either known corner coordinates or origin, cell size, and rotation. RasterHillshader Generates a grayscale shaded relief representation of terrain, based on elevation values. RasterInterpretationCoercer Alters the interpretation type of rasters, including all bands, and converts cell values if necessary. RasterMosaicker Merges multiple raster features into a single raster feature. RasterPropertyExtractor Extracts the geometry properties of a raster feature and exposes them as attributes. RasterPyramider Resamples rasters to Related Transformers: RasterPaletteAdder, RasterPaletteExtractor, RasterPaletteGenerator, RasterPaletteRemover"
fea7a481-edcb-4c3d-9fe8-840ba25c5cb0;What does the RasterGCPExtractor transformer do?;"Name: RasterGCPExtractor Category: Coordinates, Rasters Description: Name: RasterGCPExtractor Category: Coordinates, Rasters Description: Usage Notes Related Transformers: RasterGCPSetter"
dd898564-341b-45f5-9619-ee19505ad54e;Describe the purpose of the RasterMosaicker transformer.;"Name: RasterMosaicker Category: Filters and Joins, Rasters Description: Name: RasterMosaicker Category: Filters and Joins, Rasters Description: rectly inside a parameter. Arithmetic Editor Conditional Values Set values depending on one or more test conditions that either pass or fail. Parameter Condition Definition Dialog Content Expressions and strings can include a number of functions, characters, parameters, and more. When setting values - whether entered directly in a parameter or constructed using one of the editors - strings and expressions containing String, Math, Date/Time or FME Feature Functions will have those functions evaluated. Therefore, the names of these functions (in the form @<function_name>) sho Related Transformers: RasterConvolver, RasterGeoreferencer, RasterPyramider, RasterResampler, RasterRotationApplier, RasterSelector, RasterSubsetter, RasterTiler, WebMapTiler"
92463f76-c130-40cd-9a4a-37a71374fd3d;What does the RasterCellValueReplacer transformer do?;"Name: RasterCellValueReplacer Category: Rasters Description: Name: RasterCellValueReplacer Category: Rasters Description: lue are considered valid data. RasterBandNodataSetter Sets a new Nodata value on selected bands of a raster feature. RasterBandOrderer Specifies the required order of bands in a raster. Bands are reordered according to the input band indices. RasterBandPropertyExtractor Extracts the band and palette properties of a raster feature and exposes them as attributes. RasterBandRemover Removes any selected bands from a raster feature. RasterBandSeparator Separates bands or unique band and palette combinations, and outputs either individual raster features or a single new Related Transformers: RasterCellValueCalculator, RasterCellValueRounder, RasterExpressionEvaluator, RasterSingularCellValueCalculator"
db039908-7b39-4ed0-a7de-f62abdcb9400;Explain the function of the Emailer transformer.;"Name: Emailer Category: Integrations, Web Description: Name: Emailer Category: Integrations, Web Description: Input Ports This transformer accepts any feature. One email will be sent for each feature that is received by the transformer. Output Ports Each input feature that results in a successfully sent email is output unchanged via this port. Each input feature whose email could not be sent is output via this port. Anfme_rejection_codeattribute, having the valueERROR_DURING_PROCESSING, will be added, along with a more descriptivefme_rejection_messageattribute which contains more specific details as to the reason for the failure. Parameters Email Service Select th Related Transformers: "
0522c353-48c2-46cc-9687-3ee273721446,What credential source options are available for S3Connector?,0522c353-48c2-46cc-9687-3ee273721446;"Name: S3Connector Category: Integrations, Web, Workflows Description: Key Available when the credential source isEmbedded. An access key ID and secret access key can be specified directly in the transformer instead of in a web connection. Session Token Optional. Available when the credential source isEmbedded. If specified, use the temporary security credentials to connect to S3. Action The type of operation to perform. Choices are: The remaining parameters available depend on the value of the Request > Action parameter. Parameters for each Action are detailed below. Delete Options Bucket The bucket the file or folder is in. If valid credent Related Transformers: AzureBlobStorageConnector, AzureFileStorageConnector, BoxConnector, CesiumIonConnector, ComprehendConnector, DropboxConnector, FMEFlowResourceConnector, GoogleCloudStorageConnector, GoogleDriveConnector, HDFSConnector, OneDriveConnector, RekognitionConnector, SQSConnector"
e039899d-e482-4cb6-9ccf-6c766341ce9d,Which transformer can be used to stream tweets?,e039899d-e482-4cb6-9ccf-6c766341ce9d;"Name: TweetStreamer Category: Integrations, Web Description: from the drop-down context menu adjacent to the value field. Using the Text Editor The Text Editor provides a convenient way to construct text strings (including regular expressions) from various data sources, such as attributes, parameters, and constants, where the result is used directly inside a parameter. Text Editor Using the Arithmetic Editor The Arithmetic Editor provides a convenient way to construct math expressions from various data sources, such as attributes, parameters, and feature functions, where the result is used directly inside a parameter. Ari Related Transformers: JSONFragmenter, JSONExtractor, Tweeter, TweetSearcher, TwitterStatusFetcher"
1e37f4f0-6555-4afc-a622-b56cf94c3614,What happens to Requestor keys that are null in the ListBasedFeatureMerger?,083;1e37f4f0-6555-4afc-a622-b56cf94c3614;"Name: ListBasedFeatureMerger Category: Filters and Joins Description: matched Requestors are output onto this port,and all matching Suppliers are merged onto the output features ifIncomplete Requestorsis set toMerge Supplier Information.If a key in theRequestor List Attributeis null, that key will not match any Suppliers, and as a result, the Requestor feature will be output onto this port. For example, if the Requestor keys are: list{0}.key = 1 list{1}.key = <null> list{2}.key = 3 and furthermore there are Suppliers with 'supplierKey' values of 1, <null>, and 3, andIncomplete Requestorsis set toMerge Supplier Information, then the Requestor wi Related Transformers: DatabaseJoiner, FeatureJoiner, FeatureMerger, InlineQuerier, ListBuilder, ListConcatenator, ListCopier, ListDuplicateRemover, ListElementCounter, ListExploder, ListExpressionPopulator, ListHistogrammer, ListIndexer, ListPopulator, ListRangeExtractor, ListRenamer, ListSearcher, ListSorter, ListSummer, Matcher, SQLCreator, SQLExecutor"
8cf399d3-a5a6-42a4-a517-8a9aa1ec6114,What are the texture mapping types available in the AppearanceMerger?,081;8cf399d3-a5a6-42a4-a517-8a9aa1ec6114;"Name: AppearanceMerger Category: 3D, Rasters Description: y exist. Existing texture coordinates are left unchanged. Texture Mapping Type This parameter specifies how the texture defined in an appearance style will be mapped onto the surface. This is only applicable to textures which have raster images. Surface Normal:The textures are projected onto the surfaces along their normals. For composite surfaces and meshes, each of the child parts will be treated separately, since the parts can have different normals. From Top View:The textures are projected onto the surfaces along a single normal – one that is perpendicular to Related Transformers: "
014e934d-eeb6-482a-970d-73252cb63398,Which libraries does the AWSIoTConnector transformer integrate with?,144;014e934d-eeb6-482a-970d-73252cb63398;"Name: AWSIoTConnector Category: Web Description: Configuration Related Transformers: AzureIoTConnector, AzureQueueStorageConnector, GoogleCloudPubSubConnector, GoogleIoTConnector, IBMIoTConnector, KafkaConnector, MQTTConnector, SQSConnector"
